School_Name,School_Type,Starting_Median_Salary,Mid_Career_Median_Salary,Percentage_increase,Mid_Career_10th_Percentile_Salary,Mid_Career_25th_Percentile_Salary,Mid_Career_75th_Percentile_Salary,Mid_Career_90th_Percentile_Salary
Harvard University,Ivy League,63400 ,124000 ,0.96 ,54800 ,86200 ,179000 ,288000 
University of Pennsylvania,Ivy League,60900 ,120000 ,0.97 ,55900 ,79200 ,192000 ,282000 
Cornell University,Ivy League,60300 ,110000 ,0.82 ,56800 ,79800 ,160000 ,210000 
Brown University,Ivy League,56200 ,109000 ,0.94 ,55400 ,74400 ,159000 ,228000 
Columbia University,Ivy League,59400 ,107000 ,0.80 ,50300 ,71900 ,161000 ,241000 
"University of California, Berkeley",State,59900 ,112000 ,0.87 ,59500 ,81000 ,149000 ,201000 
University of Virginia (UVA),State,52700 ,103000 ,0.95 ,52200 ,71800 ,146000 ,215000 
Cal Poly San Luis Obispo,State,57200 ,101000 ,0.77 ,55000 ,74700 ,133000 ,178000 
University of California at Los Angeles (UCLA),State,52600 ,101000 ,0.92 ,51300 ,72500 ,139000 ,193000 
"University of California, San Diego (UCSD)",State,51100 ,101000 ,0.98 ,51700 ,75400 ,131000 ,177000 
"University of California, Davis",State,52300 ,99600 ,0.90 ,52000 ,71600 ,135000 ,202000 
University of Colorado - Boulder (UCB),State,47100 ,97600 ,1.07 ,51600 ,69000 ,128000 ,187000 
"University of California, Irvine (UCI)",State,48300 ,96700 ,1.00 ,47800 ,66000 ,123000 ,172000 
University of Illinois at Urbana-Champaign (UIUC),State,52900 ,96100 ,0.82 ,48200 ,68900 ,132000 ,177000 
Texas A&M University,State,49700 ,96100 ,0.93 ,51100 ,71300 ,131000 ,171000 
Binghamton University,State,53600 ,95900 ,0.79 ,50900 ,71200 ,146000 ,201000 
University of Missouri - Rolla (UMR),State,57100 ,95800 ,0.68 ,67600 ,80400 ,122000 ,166000 
San Jose State University (SJSU),State,53500 ,95600 ,0.79 ,50700 ,70500 ,122000 ,156000 
"University of Maryland, College Park",State,52000 ,95000 ,0.83 ,50400 ,68300 ,126000 ,166000 
"University of California, Santa Barbara (UCSB)",State,50500 ,95000 ,0.88 ,51300 ,71200 ,129000 ,173000 
University of Texas (UT) - Austin,State,49700 ,93900 ,0.89 ,50100 ,67400 ,129000 ,188000 
University of Michigan,State,52700 ,93000 ,0.76 ,50900 ,69400 ,128000 ,182000 
Stony Brook University,State,49500 ,93000 ,0.88 ,47200 ,67100 ,129000 ,181000 
State University of New York (SUNY) at Albany,State,44500 ,92200 ,1.07 ,47000 ,63100 ,135000 ,209000 
Rutgers University,State,50300 ,91800 ,0.83 ,48100 ,65100 ,128000 ,176000 
Purdue University,State,51400 ,90500 ,0.76 ,49900 ,67400 ,121000 ,168000 
University of Connecticut (UConn),State,48000 ,88800 ,0.85 ,46100 ,66400 ,120000 ,162000 
University of Massachusetts (UMass) - Amherst,State,46600 ,88200 ,0.89 ,43100 ,61300 ,122000 ,168000 
"California State University (CSU), Chico",State,47400 ,88100 ,0.86 ,46800 ,62800 ,122000 ,154000 
University of Florida (UF),State,47100 ,87900 ,0.87 ,45400 ,62900 ,120000 ,172000 
University of Wisconsin (UW) - Madison,State,48900 ,87800 ,0.80 ,47400 ,62400 ,118000 ,170000 
Louisiana State University (LSU),State,46900 ,87800 ,0.87 ,43700 ,61300 ,120000 ,165000 
"California State University, Fullerton (CSUF)",State,45700 ,87000 ,0.90 ,45400 ,62500 ,119000 ,158000 
George Mason University,State,47800 ,86900 ,0.82 ,51300 ,67200 ,114000 ,150000 
University of Massachusetts (UMass) - Lowell,State,45400 ,86600 ,0.91 ,50900 ,65000 ,113000 ,158000 
San Francisco State University (SFSU),State,47300 ,86400 ,0.83 ,45100 ,62700 ,114000 ,150000 
University of Arizona,State,47500 ,86100 ,0.81 ,44800 ,61700 ,117000 ,160000 
Clemson University,State,48400 ,86000 ,0.78 ,50500 ,61800 ,111000 ,150000 
University of Georgia (UGA),State,44100 ,86000 ,0.95 ,43100 ,57800 ,118000 ,164000 
Pennsylvania State University (PSU),State,49900 ,85700 ,0.72 ,46300 ,62000 ,117000 ,160000 
University of Washington (UW),State,48800 ,85300 ,0.75 ,47000 ,59800 ,115000 ,149000 
Michigan State University (MSU),State,46300 ,85300 ,0.84 ,44200 ,61500 ,119000 ,170000 
University of Rhode Island (URI),State,43900 ,85300 ,0.94 ,45400 ,60100 ,112000 ,157000 
San Diego State University (SDSU),State,46200 ,85200 ,0.84 ,45500 ,61800 ,116000 ,158000 
Auburn University,State,45400 ,84700 ,0.87 ,45400 ,62700 ,109000 ,145000 
Washington State University (WSU),State,45300 ,84700 ,0.87 ,43600 ,59000 ,113000 ,162000 
"California State University, Long Beach (CSULB)",State,45100 ,84700 ,0.88 ,47400 ,62500 ,113000 ,154000 
Iowa State University,State,45400 ,84600 ,0.86 ,44400 ,60000 ,109000 ,147000 
University of Delaware,State,45900 ,84500 ,0.84 ,44500 ,64000 ,119000 ,165000 
University of Colorado - Denver,State,46100 ,84400 ,0.83 ,46400 ,58600 ,105000 ,144000 
"California State University, East Bay (CSUEB)",State,49200 ,84300 ,0.71 ,46000 ,62400 ,115000 ,155000 
State University of New York (SUNY) at Farmingdale,State,47300 ,84200 ,0.78 ,50200 ,59800 ,110000 ,162000 
University of Minnesota,State,46200 ,84200 ,0.82 ,49000 ,63200 ,112000 ,148000 
